Sample_ID,Date of recording,Phenotype,Amplitude,Frequency,Mean_Harp_Size,Left_Harp,Right_Harp,,
C2,Sep-23,Lw,94.2,5052,9.249,9.265,9.232,,Phenotype: Lw: Long-wing male; Sw: Small-wing male
C3,Sep-23,Sw,67.8,5103,4.819,4.717,4.921,,Amplitude: dB SPL
C4-3,Sep-23,Sw,79.7,5640,6.642,6.688,6.596,,Frequency: Hz
C5-3,Sep-23,Lw,96.5,5047,9.296,9.580,9.012,,Harp size: mm2
C6-2,Sep-23,Sw,81.4,7243,5.222,5.162,5.282,,
C7,Sep-23,Sw,92.6,5935,6.741,6.605,6.876,,
C8-2,Sep-23,Sw,45.6,6450,5.080,5.211,4.948,,
C9,Sep-23,Sw,62.8,5407,5.887,5.934,5.839,,
C10,Sep-23,Sw,,6404,,,,,
C11,Sep-23,Lw,97,5068,10.007,10.298,9.715,,
C12,Sep-23,Sw,68.7,6605,6.335,6.490,6.180,,
C13,Sep-23,Lw,102.4,5028,9.992,10.118,9.866,,
C14,Sep-23,Lw,92.7,5111,10.830,10.815,10.844,,
C15,Sep-23,Sw,85,5807,6.734,6.829,6.639,,
C16,Sep-23,Lw,94,5111,8.879,8.957,8.801,,
C17,Sep-23,Lw,88.5,4686,9.477,10.210,8.743,,
C18,Sep-23,Lw,102,5094,10.948,11.566,10.330,,
C19,Sep-23,Lw,94.6,4972,7.824,7.803,7.845,,
C20,Sep-23,Sw,78.9,5989,5.235,4.699,5.771,,
C21,Sep-23,Sw,64.6,7286,5.518,5.734,5.301,,
C22,Sep-23,Lw,97.7,5417,9.374,9.520,9.228,,
C23,Sep-23,Lw,96,5149,9.983,10.154,9.811,,
C24,Sep-23,Lw,95.1,5080,10.511,10.099,10.922,,
C25,Sep-23,Lw,98,5084,9.660,9.960,9.360,,
C26,Sep-23,Lw,98.1,5097,9.767,9.899,9.635,,
C27,Sep-23,Sw,73.7,5502,5.350,5.642,5.058,,
C28,Sep-23,Lw,84.6,5150,6.904,6.710,7.097,,
C29,Sep-23,Lw,99.3,5065,8.980,8.930,9.029,,
C30,Sep-23,Lw,97.8,5319,10.307,10.767,9.846,,
C31,Sep-23,Lw,93.6,5056,8.586,8.809,8.362,,
C32,Sep-23,Lw,81,4934,6.561,6.716,6.406,,
S1,Apr-24,Sw,69.8,6926,,,,,
S2,Apr-24,Sw,72.7,4882,,,,,
S3,Apr-24,Sw,67.4,5493,5.617,5.229,6.005,,
S4,Apr-24,Sw,75.3,6385,5.352,5.286,5.417,,
S5,Apr-24,Sw,66.7,6012,4.960,4.778,5.141,,
S6(silent),Apr-24,Sw,,,,,,,
S7,Apr-24,Sw,77.8,7242,5.395,5.342,5.447,,
S8,Apr-24,Sw,78.3,6443,5.237,5.030,5.444,,
S9,Apr-24,Sw,72.9,6279,5.200,5.279,5.121,,
S10,Apr-24,Sw,62.3,5335,3.773,3.783,3.762,,
S11,Apr-24,Sw,40.3,4865,5.054,5.141,4.966,,
L1,Apr-24,Lw,,4548,8.732,8.696,8.767,,
L2,Apr-24,Lw,81.7,4811,,,,,
L3,Apr-24,Lw,83.8,4168,8.300,8.204,8.395,,
"L4(1,2)",Apr-24,Lw,85.3,4662,8.577,8.752,8.402,,
L5,Apr-24,Lw,90.6,4626,8.269,8.344,8.194,,
L6-3,Apr-24,Lw,93.3,4997,8.765,8.705,8.825,,
L7-2,Apr-24,Lw,87.6,4995,8.558,8.417,8.698,,
L8,Apr-24,Lw,86.7,4656,8.264,7.966,8.562,,
L9,Apr-24,Lw,83.6,4781,,,,,
L10,Apr-24,Lw,84.5,4491,9.387,9.010,9.764,,
L11,Apr-24,Lw,93.8,4476,9.035,9.172,8.898,,
L12,Apr-24,Lw,84.7,5094,7.970,7.748,8.192,,
