Generation,Sample_Group,Sample_ID,Phenotype,Mean_Harp_Size,Left_Harp_Size,Right_Harp_Size,,
F5,Longevity_2023,P136_Sw1_Audible,Sw,5.496,5.591,5.4,,Phenotype: Lw: Long-wing; Sw: Small-wing
F5,Longevity_2023,P136_Sw2_Audible,Sw,5.789,4.807,6.771,,Harp size: mm2
F5,Longevity_2023,P136_Sw5_Audible,Sw,6.736,7.052,6.42,,
F5,Longevity_2023,P136_Sw8,Sw,5.53,4.772,6.287,,
F5,Longevity_2023,P136_Sw9_Silent,Sw,6.556,6.233,6.879,,
F5,Longevity_2023,P136_Sw10_Audible,Sw,6.432,6.512,6.351,,
F5,Longevity_2023,P136_Sw11,Sw,6.511,6.283,6.739,,
F5,Longevity_2023,P136_Sw14_Audible,Sw,6.579,6.695,6.463,,
F5,Longevity_2023,P136_Sw16_Audible,Sw,6.598,6.719,6.477,,
F5,Longevity_2023,P136_Sw17_Audible,Sw,6.631,6.76,6.501,,
F5,Longevity_2023,P136_Sw18_Audible,Sw,6.118,6.155,6.08,,
F5,Longevity_2023,P136_Sw19_Audible,Sw,7.397,7.31,7.483,,
F5,Longevity_2023,P136_Sw21,Sw,6.145,6.128,6.162,,
F5,Longevity_2023,P136_Sw22,Sw,6.327,6.521,6.132,,
F5,Longevity_2023,P136_Sw23_Audible,Sw,6.159,6.032,6.286,,
F5,Longevity_2023,P136_Sw24,Sw,7.035,7.075,6.995,,
F5,Longevity_2023,P136_Sw25_Audible,Sw,6.231,6.355,6.106,,
F5,Longevity_2023,P136_Sw26_Audible,Sw,6.323,6.503,6.142,,
F5,Longevity_2023,P143_Sw1_Audible,Sw,6.104,6.099,6.109,,
F5,Longevity_2023,P143_Sw3_Silent,Sw,5.958,5.679,6.236,,
F5,Longevity_2023,P143_Sw5,Sw,5.27,5.251,5.289,,
F5,Longevity_2023,P143_Sw6,Sw,5.762,5.961,5.562,,
F5,Longevity_2023,P143_Sw7,Sw,5.477,5.864,5.09,,
F5,Longevity_2023,P143_Sw8_Audible,Sw,6.273,6.215,6.331,,
F5,Longevity_2023,P143_Sw10_Audible,Sw,5.638,5.425,5.851,,
F5,Longevity_2023,P148_Sw3,Sw,4.849,5.01,4.688,,
F5,Longevity_2023,P148_Sw4,Sw,5.794,5.833,5.755,,
F5,Longevity_2023,P149_Sw1_Audible,Sw,6.331,6.34,6.322,,
F5,Longevity_2023,P149_Sw2,Sw,6.647,6.693,6.601,,
F5,Longevity_2023,P149_Sw5,Sw,6.167,5.723,6.61,,
F5,Longevity_2023,P149_Sw13,Sw,6.388,6.257,6.519,,
F5,Longevity_2023,P149_Sw14-Audible,Sw,7.023,7.449,6.597,,
F5,Longevity_2023,P149_Sw15-Audible,Sw,6.186,6.08,6.292,,
F5,Longevity_2023,P149_Sw16-Audible,Sw,6.515,6.246,6.783,,
F5,Longevity_2023,P149_Sw17-Audible,Sw,6.731,6.761,6.701,,
F5,Longevity_2023,P149_Sw18-Audible,Sw,5.775,5.995,5.554,,
F5,Longevity_2023,P149_Sw19-Audible,Sw,6.017,6.02,6.013,,
F5,Longevity_2023,P149_Sw20,Sw,6.317,6.66,5.974,,
F5,Longevity_2023,P149_Sw21,Sw,5.649,6.25,5.047,,
F5,Longevity_2023,P149_Sw22-Audible,Sw,6.468,6.437,6.499,,
F5,Longevity_2023,P149_Sw24,Sw,6.233,6.956,5.51,,
F5,Longevity_2023,P149_Sw25-Audible,Sw,7.052,7.12,6.984,,
F5,Longevity_2023,P149_Sw27-Audible,Sw,7.3,7.371,7.229,,
F5,Longevity_2023,P149_Sw28-Silent,Sw,7.261,7.905,6.616,,
F6,Calling_song_Sep2023,C2_Lw,Lw,9.249,9.265,9.232,,
F6,Calling_song_Sep2023,C5_Lw,Lw,9.296,9.58,9.012,,
F6,Calling_song_Sep2023,C11_Lw,Lw,10.007,10.298,9.715,,
F6,Calling_song_Sep2023,C13_Lw,Lw,9.992,10.118,9.866,,
F6,Calling_song_Sep2023,C14_Lw,Lw,10.83,10.815,10.844,,
F6,Calling_song_Sep2023,C16_Lw,Lw,8.879,8.957,8.801,,
F6,Calling_song_Sep2023,C17_Lw,Lw,9.477,10.21,8.743,,
F6,Calling_song_Sep2023,C18_Lw,Lw,10.948,11.566,10.33,,
F6,Calling_song_Sep2023,C19_Lw,Lw,7.824,7.803,7.845,,
F6,Calling_song_Sep2023,C22_Lw,Lw,9.374,9.52,9.228,,
F6,Calling_song_Sep2023,C23_Lw,Lw,9.983,10.154,9.811,,
F6,Calling_song_Sep2023,C24_Lw,Lw,10.511,10.099,10.922,,
F6,Calling_song_Sep2023,C25_Lw,Lw,9.66,9.96,9.36,,
F6,Calling_song_Sep2023,C26_Lw,Lw,9.767,9.899,9.635,,
F6,Calling_song_Sep2023,C28_Lw,Lw,6.904,6.71,7.097,,
F6,Calling_song_Sep2023,C29_Lw,Lw,8.98,8.93,9.029,,
