Smaple,Morph,Ave_resonance,Ave_intensity,Left_resonance,Right_resonance,Left_Intensity,Right_Intensity
Lw1,Lw,4593.75,1.20E-06,4593.75,4593.75,1.14E-06,1.26E-06
Lw3,Lw,5828.13,9.62E-07,4796.875,6859.375,1.55E-06,3.73E-07
Lw4,Lw,4992.19,7.34E-07,4796.875,5187.5,7.79E-07,6.88E-07
Lw5,Lw,4058.59,1.71E-06,4203.125,3914.0625,1.25E-06,2.16E-06
Lw6,Lw,4835.94,7.55E-07,4476.5625,5195.3125,7.47E-07,7.62E-07
Lw7,Lw,4789.06,1.03E-06,4851.5625,4726.5625,1.26E-06,8.05E-07
Lw8,Lw,4363.28,2.08E-06,4101.5625,4625,2.99E-06,1.16E-06
Lw9,Lw,4769.53,1.18E-06,4687.5,4851.5625,1.19E-06,1.17E-06
Lw10,Lw,4773.44,7.33E-07,4851.5625,4695.3125,9.43E-07,5.22E-07
Lw11,Lw,4492.19,1.11E-06,4203.125,4781.25,8.50E-07,1.37E-06
Lw12,Lw,4949.22,8.75E-07,4867.1875,5031.25,9.75E-07,7.75E-07
Sw1,Sw,6777.34,2.78E-07,6617.1875,6937.5,2.46E-07,3.10E-07
Sw2,Sw,5519.53,3.62E-07,6320.3125,4718.75,2.11E-07,5.12E-07
Sw3,Sw,5785.16,5.15E-07,5945.3125,5625,5.83E-07,4.46E-07
Sw4,Sw,7351.56,2.84E-07,7351.5625,7351.5625,2.66E-07,3.01E-07
Sw5,Sw,6378.91,3.12E-07,6023.4375,6734.375,3.96E-07,2.27E-07
Sw6,Sw,7117.19,1.41E-07,6851.5625,7382.8125,1.91E-07,9.08E-08
Sw7,Sw,7136.72,2.44E-07,6953.125,7320.3125,2.68E-07,2.19E-07
Sw8,Sw,5882.81,4.50E-07,5882.8125,5882.8125,4.83E-07,4.17E-07
Sw9,Sw,7363.28,1.86E-07,6093.75,8632.8125,1.79E-07,1.92E-07
Sw10,Sw,7406.25,1.84E-07,8421.875,6390.625,1.84E-07,1.84E-07
Sw11,Sw,5398.44,1.59E-07,5648.4375,5148.4375,1.27E-07,1.90E-07
