Frequency(Hz),Mean Magnitude(m/pa),SD,Mean+SD,Mean-SD,SE,Mean+SE,Mean-SE,Lw1,Lw3,Lw4,Lw5,Lw6,Lw7,Lw8,Lw9,Lw10,Lw11,Lw12
1000,4.14E-08,2.37E-08,6.50E-08,1.77E-08,7.14E-09,4.85E-08,3.42E-08,6.04E-08,6.25E-08,5.01E-08,3.41E-08,2.18E-08,2.93E-08,5.57E-08,3.89E-08,1.03E-08,7.85E-09,8.42E-08
1007.8125,3.79E-08,2.40E-08,6.19E-08,1.38E-08,7.25E-09,4.51E-08,3.06E-08,5.27E-08,5.92E-08,4.77E-08,2.31E-08,2.76E-08,1.79E-08,6.02E-08,3.32E-08,8.74E-09,5.20E-09,8.09E-08
1015.625,3.93E-08,2.98E-08,6.91E-08,9.53E-09,8.99E-09,4.83E-08,3.03E-08,5.05E-08,5.59E-08,4.69E-08,3.33E-08,2.90E-08,7.80E-09,6.14E-08,3.09E-08,5.36E-09,5.65E-09,1.06E-07
1023.4375,4.14E-08,3.50E-08,7.64E-08,6.37E-09,1.06E-08,5.20E-08,3.08E-08,4.97E-08,5.39E-08,4.78E-08,3.10E-08,2.93E-08,3.63E-09,6.47E-08,2.85E-08,3.49E-09,1.54E-08,1.28E-07
1031.25,4.28E-08,3.56E-08,7.83E-08,7.23E-09,1.07E-08,5.35E-08,3.21E-08,4.61E-08,5.01E-08,4.87E-08,1.58E-08,2.98E-08,2.52E-08,6.88E-08,2.68E-08,8.30E-09,1.61E-08,1.35E-07
1039.0625,4.46E-08,3.80E-08,8.26E-08,6.65E-09,1.15E-08,5.61E-08,3.32E-08,4.78E-08,4.78E-08,4.38E-08,2.62E-08,3.36E-08,1.72E-08,6.70E-08,2.92E-08,1.15E-08,1.88E-08,1.48E-07
1046.875,4.26E-08,2.85E-08,7.11E-08,1.41E-08,8.59E-09,5.12E-08,3.40E-08,4.26E-08,4.39E-08,4.20E-08,2.65E-08,4.10E-08,2.39E-08,6.48E-08,2.65E-08,1.56E-08,2.41E-08,1.18E-07
1054.6875,4.08E-08,2.90E-08,6.98E-08,1.17E-08,8.75E-09,4.95E-08,3.20E-08,3.88E-08,3.84E-08,3.82E-08,1.72E-08,4.05E-08,2.91E-08,5.98E-08,2.25E-08,1.78E-08,2.61E-08,1.20E-07
1062.5,3.66E-08,2.49E-08,6.15E-08,1.17E-08,7.50E-09,4.41E-08,2.91E-08,3.88E-08,3.32E-08,3.38E-08,5.14E-09,3.86E-08,3.00E-08,5.45E-08,1.59E-08,2.36E-08,2.84E-08,1.01E-07
1070.3125,3.61E-08,2.77E-08,6.38E-08,8.34E-09,8.36E-09,4.44E-08,2.77E-08,3.23E-08,3.02E-08,2.99E-08,1.30E-08,2.92E-08,3.25E-08,5.07E-08,1.54E-08,2.01E-08,2.95E-08,1.14E-07
