Frequency(Hz),Mean Magnitude(m/pa),SD,Mean+SD,Mean-SD,SE,Mean+SE,Mean-SE,Sw1,Sw2,Sw3,Sw4,Sw5,Sw6,Sw7,Sw8,Sw9,Sw10,Sw11
1000,3.73E-08,1.7185E-08,5.45E-08,2.01E-08,5.18E-09,4.25E-08,3.21E-08,4.05E-08,1.96E-08,3.00E-08,5.42E-08,5.78E-08,6.62E-09,4.30E-08,3.05E-08,4.45E-08,6.13E-08,2.24E-08
1007.8125,3.46E-08,1.51633E-08,4.98E-08,1.95E-08,4.57E-09,3.92E-08,3.01E-08,3.36E-08,2.39E-08,2.56E-08,5.36E-08,5.05E-08,7.29E-09,3.93E-08,2.92E-08,4.55E-08,5.31E-08,1.94E-08
1015.625,3.32E-08,1.4925E-08,4.81E-08,1.82E-08,4.50E-09,3.77E-08,2.87E-08,2.63E-08,2.70E-08,2.39E-08,5.33E-08,4.41E-08,7.56E-09,3.67E-08,3.54E-08,4.24E-08,5.37E-08,1.44E-08
1023.4375,3.17E-08,1.49145E-08,4.66E-08,1.68E-08,4.50E-09,3.62E-08,2.72E-08,2.16E-08,3.01E-08,2.42E-08,5.37E-08,4.24E-08,7.25E-09,3.22E-08,3.51E-08,3.55E-08,5.37E-08,1.28E-08
1031.25,3.21E-08,1.52551E-08,4.73E-08,1.68E-08,4.60E-09,3.67E-08,2.75E-08,1.35E-08,3.57E-08,3.75E-08,5.22E-08,4.28E-08,7.31E-09,3.52E-08,3.88E-08,4.48E-08,3.67E-08,8.24E-09
1039.0625,2.82E-08,1.57237E-08,4.40E-08,1.25E-08,4.74E-09,3.30E-08,2.35E-08,1.05E-08,4.24E-08,2.15E-08,5.28E-08,4.20E-08,4.83E-09,3.29E-08,3.56E-08,3.46E-08,2.66E-08,6.95E-09
1046.875,2.57E-08,1.44621E-08,4.02E-08,1.13E-08,4.36E-09,3.01E-08,2.14E-08,8.99E-09,3.30E-08,2.19E-08,5.33E-08,3.55E-08,5.51E-09,2.97E-08,2.77E-08,3.67E-08,2.34E-08,7.47E-09
1054.6875,2.46E-08,1.2906E-08,3.75E-08,1.17E-08,3.89E-09,2.85E-08,2.07E-08,1.59E-08,3.03E-08,1.88E-08,4.58E-08,3.13E-08,5.53E-09,2.61E-08,3.46E-08,3.80E-08,1.84E-08,6.00E-09
1062.5,2.38E-08,1.0662E-08,3.45E-08,1.32E-08,3.21E-09,2.71E-08,2.06E-08,2.56E-08,3.26E-08,1.73E-08,4.18E-08,2.79E-08,5.74E-09,2.33E-08,3.24E-08,2.67E-08,2.10E-08,7.81E-09
1070.3125,2.36E-08,1.20479E-08,3.56E-08,1.15E-08,3.63E-09,2.72E-08,1.99E-08,3.20E-08,3.97E-08,1.61E-08,3.80E-08,2.22E-08,4.13E-09,2.23E-08,2.13E-08,2.06E-08,3.65E-08,6.44E-09
