Year,Time,Sex,Phe,Morph,Ratio,,Sample_size
1.00,2014,M,Sw_M,Sw,0.00,,30
2.00,2015,M,Sw_M,Sw,,,
3.00,2016,M,Sw_M,Sw,0.11,,19
4.00,2017,M,Sw_M,Sw,0.33,,6
5.00,2018,M,Sw_M,Sw,0.27,,103
6.00,2019.Sum,M,Sw_M,Sw,0.07,,30
6.50,2019.Win,M,Sw_M,Sw,0.06,,31
7.00,2020,M,Sw_M,Sw,,,
8.00,2021.Sum,M,Sw_M,Sw,0.12,,25
8.50,2021.Win,M,Sw_M,Sw,0.08,,36
9.00,2022.Spr,M,Sw_M,Sw,0.05,,21
9.33,2022.Sum,M,Sw_M,Sw,,,
9.66,2022.Win,M,Sw_M,Sw,,,
10.00,2023,M,Sw_M,Sw,,,
11.00,2024,M,Sw_M,Sw,0.15,,102
1.00,2014,F,Sw_F,Sw,0.00,,30
2.00,2015,F,Sw_F,Sw,,,
3.00,2016,F,Sw_F,Sw,0.07,,15
4.00,2017,F,Sw_F,Sw,0.00,,30
5.00,2018,F,Sw_F,Sw,0.09,,109
6.00,2019.Sum,F,Sw_F,Sw,,,
6.50,2019.Win,F,Sw_F,Sw,,,
7.00,2020,F,Sw_F,Sw,,,
8.00,2021.Sum,F,Sw_F,Sw,,,
8.50,2021.Win,F,Sw_F,Sw,,,
9.00,2022.Spr,F,Sw_F,Sw,0.10,,30
9.33,2022.Sum,F,Sw_F,Sw,,Very few females,
9.66,2022.Win,F,Sw_F,Sw,,,
10.00,2023,F,Sw_F,Sw,,,
11.00,2024,F,Sw_F,Sw,0.01,,69
