Survey Time,LwNw.male,SwNw.male,CwNw.male,CwSw,RwNw.male,Total.male,Sw_M_Ratio,Lw.female,Cw.female,Sw.female,Total.female,Sw_F_Ratio,Note,Surveyed by
2014,30,0,,,,30,0,30,,0,30,0,,Nathan Bailey
2016.Sep,17,2,,,,19,0.11,14,,1,15,0.07,First Sw was discovered,Nathan Bailey
2017.Nov,4,2,,,,6,0.33,30,,0,30,0,,Nathan Bailey & Jack Rayner
2018.Oct,62,28,13,,,103,0.27,99,,10,109,0.09,,Nathan Bailey & Jack Rayner
2019.Summer,10,2,0,,18,30,0.07,,,,,,,"Gallagher et al., 2024"
2019.Winter,5,2,5,,19,31,0.06,,,,,,,"Gallagher et al., 2024"
2021.Summer,4,3,10,,8,25,0.12,,,,,,,"Gallagher et al., 2024"
2021.Winter,10,3,11,,12,36,0.08,,,,,,,"Gallagher et al., 2024"
2022.Jan,7,1,13,,,21,0.05,19,8,3,30,0.1,,"Jack Rayner, Ana Drago & Oscar Gaggiotti"
2022.June,1,2,1,,,4,0.5,1,,1,2,0.5,Very few crickets,Nathan Bailey & Jack Rayner
2022.Oct,,1,1,,,2,0.5,1,,,1,,Very few crickets,"Renjie Zhang, Jack Rayner & Leeban Yusuf"
2024.June,,0,,,,17,0,,,,,0,Rainy season,"Nathan Bailey, Leeban Yusuf & Kalyani Twyman"
2024.Sep,31,15,53,3,,102,0.15,51,,1,69,0.01,Using lab-reared eggs and offspring collected from the 2024 field survey,Renjie Zhang
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sw male ratio was counted as SwNw/Toal males,,,,,,,,,,,,,,
"Lw.Nw and Sw.Nw indicate ancestral long-wing males with normal wing veins and small-wing males with reduced wing length and normal wing veins, respectively. Cw.Nw represents males with long wings but exhibiting 3D morphological variation (curly wings), while Cw.Sw denotes males with 3D variation who also carry reduced wing length. Rw.Nw males have a gap between stridulatory file teeth but maintain normal wing veins.",,,,,,,,,,,,,,
