Generation,Sample_ID,Sex,Morph,Sex_Morph,Juv_Forewing_Length,Juv_Hindwing_Length,Juv_Ave_Pro,Pro_Juv1,Pro_Juv2,Pro_Juv3,Note,
F4_Mating trial_2022,A_JS1,M,Sw,M_Sw,2.83,4.46,3.44,3.49,3.46,3.38,,Wing length and pronotum length was recorded as (mm)
F4_Mating trial_2022,A_JS2,M,Sw,M_Sw,2.83,4.65,3.42,3.45,3.36,3.44,,Juv_Ave_Pro: Juvnile pronotum length averaged from three measurements
F4_Mating trial_2022,A2_JL1,M,Lw,M_Lw,3.99,5.85,3.51,3.48,3.55,3.49,,Right wing length was measured unless the wing was broken or disappeared
F4_Mating trial_2022,A2_JS3,M,Sw,M_Sw,2.86,4.10,3.46,3.49,3.43,3.47,,
F4_Mating trial_2022,A2_JS4,M,Sw,M_Sw,2.68,4.40,3.31,3.36,3.29,3.29,,
F4_Mating trial_2022,A2_JS5,M,Sw,M_Sw,2.54,4.72,3.66,3.66,3.62,3.71,,
F4_Mating trial_2022,A3_JS6,M,Sw,M_Sw,3.32,4.19,3.31,3.34,3.27,3.32,,
F4_Mating trial_2022,A2_JS7,M,Sw,M_Sw,2.50,4.37,3.52,3.58,3.47,3.50,,
F4_Mating trial_2022,A1_JS8,M,Sw,M_Sw,2.90,3.85,3.02,3.03,2.98,3.04,,
F4_Mating trial_2022,A_JS9,M,Sw,M_Sw,3.60,4.26,3.71,3.75,3.71,3.68,,
F4_Mating trial_2022,S8,M,Sw,M_Sw,2.95,3.84,,,,,,
F4_Mating trial_2022,S7,M,Sw,M_Sw,2.96,4.47,,,,,,
F4_Mating trial_2022,S6,M,Sw,M_Sw,3.15,4.32,,,,,,
F4_Mating trial_2022,S5,M,Sw,M_Sw,3.48,4.97,,,,,,
F4_Mating trial_2022,S4,M,Sw,M_Sw,3.33,4.47,,,,,,
F4_Mating trial_2022,S3,M,Sw,M_Sw,3.43,4.30,,,,,,
F4_Mating trial_2022,S2,M,Sw,M_Sw,3.02,4.25,,,,,,
F4_Mating trial_2022,S1,M,Sw,M_Sw,3.41,4.52,,,,,,
F4_Mating trial_2022,L1,M,Lw,M_Lw,4.57,5.56,,,,,,
F4_Mating trial_2022,A2_JS10,M,Sw,M_Sw,2.97,4.64,3.53,3.53,3.50,3.57,,
F4_Mating trial_2022,A4_JS12,M,Sw,M_Sw,3.23,4.13,3.24,3.21,3.30,3.21,,
F4_Mating trial_2022,A1_JS13,M,Sw,M_Sw,3.37,4.62,3.50,3.49,3.48,3.53,,
F4_Mating trial_2022,A2_JS14,M,Sw,M_Sw,3.21,4.23,3.23,3.32,3.20,3.17,,
F4_Mating trial_2022,A1_JS15,M,Sw,M_Sw,3.15,3.95,3.01,2.97,3.02,3.04,,
F4_Mating trial_2022,JS16,M,Sw,M_Sw,3.60,4.79,3.55,3.47,3.58,3.60,,
F4_Mating trial_2022,JS17,M,Sw,M_Sw,3.88,4.55,3.72,3.75,3.68,3.72,,
F4_Mating trial_2022,JS18,M,Sw,M_Sw,3.28,4.03,3.22,3.23,3.27,3.17,,
