gene_id(stringtie),baseMean,log2FoldChange,lfcSE,pvalue,padj,Expression,Gene_Name,Gene_id(Genome)
MSTRG.822,154.5375386,-10.47167599,0.733568036,1.03E-47,3.31E-44,Down-regulated,,TOC.1T.01610
MSTRG.824,286.5282419,-10.29404745,0.724054125,2.56E-47,6.86E-44,Down-regulated,,TOC.1T.01612
MSTRG.4795,1045.781554,-10.20788045,1.563229526,1.02E-12,7.73E-11,Down-regulated,Cu,TOC.2T.01582
MSTRG.823,188.0187447,-10.05510623,0.723639813,2.66E-45,5.35E-42,Down-regulated,,TOC.1T.01611
MSTRG.825,102.0555024,-9.89810003,0.726853679,1.30E-43,2.09E-40,Down-regulated,,TOC.1T.01613
MSTRG.4355,4129.065084,-9.643613562,1.284739815,1.54E-15,2.06E-13,Down-regulated,Cu,TOC.2T.00762
MSTRG.4352,140.3874407,-9.250898873,1.525956344,2.34E-11,1.26E-09,Down-regulated,Cu,TOC.2T.00759
MSTRG.6421,10901.24787,-9.173427677,1.077705014,5.61E-19,1.33E-16,Down-regulated,,TOC.3T.01862
MSTRG.4731,72.23826821,-9.171641534,0.975114846,1.90E-22,7.65E-20,Down-regulated,Cu,TOC.2T.01425
MSTRG.4358,1561.456913,-9.124614844,1.005503949,4.05E-21,1.36E-18,Down-regulated,Cu,TOC.2T.00766
MSTRG.4356,30945.63124,-9.118039167,1.003030342,3.51E-21,1.20E-18,Down-regulated,Cu,TOC.2T.00764
MSTRG.4359,5317.22881,-9.062068076,1.020246955,2.27E-20,6.70E-18,Down-regulated,Cu,TOC.2T.00770
MSTRG.6423,41365.09594,-8.604756746,0.871495594,2.01E-24,1.12E-21,Down-regulated,,TOC.3T.01864
MSTRG.4354,1383.885342,-8.358536828,1.088544436,4.23E-16,6.48E-14,Down-regulated,Cu,TOC.2T.00761
MSTRG.10535,24270.32433,-8.330823384,0.913287782,2.36E-21,8.25E-19,Down-regulated,Cu,TOC.8T.00571
MSTRG.3042,24896.33836,-8.249873935,1.252176603,9.11E-13,7.04E-11,Down-regulated,,TOC.12T.01159
MSTRG.3749,2089.509815,-8.123624357,1.131781763,1.60E-14,1.75E-12,Down-regulated,,TOC.14T.00436
MSTRG.3043,6633.084433,-8.08688684,1.246303401,1.68E-12,1.21E-10,Down-regulated,,TOC.12T.01160
MSTRG.6422,17704.41871,-7.973951193,1.096143649,7.64E-15,8.90E-13,Down-regulated,,TOC.3T.01863
MSTRG.899,101.7392463,-7.799163081,0.560736762,1.86E-45,4.26E-42,Down-regulated,,TOC.1T.01731
MSTRG.10534,2830.984819,-7.630137928,0.850982708,7.14E-21,2.34E-18,Down-regulated,,TOC.8T.00570
MSTRG.3041,261.9311119,-7.037881445,1.381389673,3.87E-09,1.14E-07,Down-regulated,,TOC.12T.01156
MSTRG.3688,132.1603241,-6.84483717,0.996454534,9.16E-14,8.77E-12,Down-regulated,,TOC.14T.00282
MSTRG.10532,1508.649748,-6.838185634,0.893418446,2.88E-16,4.68E-14,Down-regulated,,TOC.8T.00568
MSTRG.10529,205402.2228,-6.239312133,0.862925004,6.32E-15,7.42E-13,Down-regulated,Cu,TOC.8T.00565
MSTRG.821,160.9431916,-6.204900561,0.278445301,6.67E-112,3.57E-108,Down-regulated,,TOC.1T.01609
MSTRG.3750,27869.1257,-6.182256424,0.906391083,1.18E-13,1.12E-11,Down-regulated,,TOC.14T.00438
MSTRG.10533,3389.994679,-6.106376609,0.870002757,2.95E-14,3.14E-12,Down-regulated,Cu,TOC.8T.00569
MSTRG.4357,31.00554034,-6.080545178,2.400465439,1.09E-05,9.71E-05,Down-regulated,Cu,TOC.2T.00765
MSTRG.10528,7889.951664,-6.030653749,1.122703698,9.20E-10,3.27E-08,Down-regulated,Cu,TOC.8T.00564
TOC.2T.01968,7.856656435,-5.928047743,1.058453919,2.65E-10,1.08E-08,Down-regulated,,TOC.2T.01968
MSTRG.6917,55.48101231,-5.925634114,0.851095326,4.53E-14,4.70E-12,Down-regulated,,TOC.4T.00520
MSTRG.417,132.131784,-5.870731396,0.274880312,4.22E-103,1.70E-99,Down-regulated,,TOC.1T.00845
MSTRG.5094,88.12285326,-5.819762338,1.312347231,7.91E-08,1.52E-06,Down-regulated,,TOC.2T.02147
MSTRG.2661,3149.068837,-5.815830979,0.624215543,1.66E-22,6.83E-20,Down-regulated,,TOC.12T.00398
MSTRG.3885,18970.80913,-5.787701158,0.864071481,2.94E-13,2.53E-11,Down-regulated,,TOC.16T.00014
MSTRG.8609,528.4790037,-5.759097502,1.321468083,1.08E-07,1.99E-06,Down-regulated,,TOC.6T.00033
MSTRG.6916,20.59197038,-5.735173951,0.878958653,9.57E-13,7.33E-11,Down-regulated,,TOC.4T.00519
MSTRG.8606,791.1407618,-5.704115348,1.482147322,6.46E-07,9.25E-06,Down-regulated,,TOC.6T.00030
MSTRG.6790,448.0105702,-5.675973991,0.969963591,6.62E-11,3.13E-09,Down-regulated,,TOC.4T.00259
MSTRG.3156,6784.352219,-5.570260516,0.598282595,1.96E-22,7.70E-20,Down-regulated,,TOC.13T.00115
TOC.4T.00255,18.64081903,-5.443872786,1.275474518,1.62E-07,2.80E-06,Down-regulated,,TOC.4T.00255
