gene_id,1-S9,2-S10,3-S12,5-S14,6-S15,7-S16,8-S19,9-S20,10-S22,11-S24,12-S25,13-S26,14-S27,15-S28,16-S29,17-S30
MSTRG.1,869,1241,1156,1096,1394,1189,1431,1265,1102,1130,1119,1259,1243,1386,1393,1145
TOC.1T.00007,3,20,8,12,15,21,22,12,12,15,17,16,13,27,24,17
MSTRG.2,1438,2006,1520,1627,1730,1916,1754,2358,1578,1428,1527,1799,1578,1914,1832,1626
TOC.1T.00021,5,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0
TOC.1T.00014,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
TOC.1T.00015,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
TOC.1T.00016,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
TOC.1T.00017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TOC.1T.00010,501,654,756,416,522,476,646,553,388,300,341,318,273,358,408,326
MSTRG.3,34,30,43,27,63,20,54,50,20,28,21,15,11,26,21,16
TOC.1T.00012,10,9,15,8,26,11,29,26,12,5,6,6,8,15,10,7
TOC.1T.00013,3,0,0,0,3,0,1,2,2,0,1,0,0,0,0,2
TOC.1T.00018,3,8,6,0,6,3,12,2,0,0,0,4,1,7,3,2
MSTRG.4,212,292,337,167,254,226,299,230,144,120,122,168,171,136,190,164
MSTRG.5,485,570,646,312,513,428,720,535,315,290,228,355,343,286,346,321
MSTRG.6,2248,8792,4446,1420,6483,831,11194,603,1001,3184,973,2650,2153,2309,3094,1875
TOC.1T.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOC.1T.00027,1,1,0,0,1,0,2,0,1,1,1,1,0,1,1,1
MSTRG.7,3222,4107,3739,5074,4608,4375,4945,4739,4476,5705,4219,5610,5811,6417,6775,5687
MSTRG.9,1808,2410,2624,2294,2463,2148,2610,2528,1893,2127,2066,2159,2303,2378,2306,2219
TOC.1T.00031,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
TOC.1T.00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOC.1T.00033,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
MSTRG.8,771,869,719,931,968,858,1003,799,920,827,837,869,919,1080,1230,949
MSTRG.10,4626,5916,4371,7415,9448,6346,7614,6062,6480,6527,6821,7161,6773,8538,8097,7316
MSTRG.11,2432,4130,2383,6391,6631,4491,5710,4338,5386,6242,6637,6696,6749,8060,6816,6629
MSTRG.12,638,1313,636,1504,2136,1212,1762,1041,1745,3349,1729,2333,5230,3183,4566,3184
MSTRG.13,1431,2210,1413,2683,3036,2346,2837,2350,2692,2864,3062,3108,2966,3411,3208,2925
MSTRG.14,2639,3893,3031,5206,4885,3795,4594,4251,4272,5469,4299,5126,5454,6129,6258,5417
MSTRG.16,90,113,128,17,82,76,201,110,24,29,23,25,36,19,25,28
MSTRG.15,1196,1926,1254,2224,2196,1963,2031,1871,2001,2021,2513,2433,2316,2554,2428,2395
MSTRG.17,3824,5560,3815,5878,6464,5413,6421,5519,5526,5844,6235,6252,6644,7003,6724,6442
MSTRG.18,3229,4226,5585,2864,3025,2709,5356,3697,1644,4460,1641,3822,4117,3234,5541,4662
TOC.1T.00050,1,1,1,1,1,0,1,0,2,1,1,1,2,1,1,1
TOC.1T.00052,6,3,3,0,5,3,11,6,11,5,3,5,6,7,9,5
TOC.1T.00051,3,6,0,6,0,4,4,0,4,4,8,3,3,0,7,0
TOC.1T.00055,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
MSTRG.19,1695,2524,1930,2751,2911,2453,2853,2730,2426,2868,2697,3202,2986,3277,3399,3105
TOC.1T.00053,4,5,12,9,9,3,6,6,11,11,3,8,12,8,7,7
MSTRG.20,18,39,40,51,44,27,48,36,46,35,27,49,48,30,57,33
MSTRG.24,120,125,171,333,282,157,176,160,168,524,198,431,462,513,543,503
MSTRG.21,2454,3530,2512,3317,4118,3521,3568,3659,3414,3652,3579,3904,4283,4374,3995,3972
TOC.1T.00060,0,2,0,0,0,2,2,0,2,2,0,0,0,0,0,0
MSTRG.22,92,73,72,81,52,89,75,69,68,61,41,44,77,66,73,58
MSTRG.23,25,13,17,10,10,19,15,7,12,22,12,11,14,20,12,15
TOC.1T.00063,6,8,8,13,13,10,8,13,7,7,9,8,12,13,18,23
MSTRG.25,1980,2775,2410,2415,2843,2633,2775,2684,2613,2683,2318,3214,2803,3365,3699,3006
TOC.1T.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.27,3502,5555,3473,6442,7211,5410,6193,5527,6082,6537,7221,7579,7460,8268,8331,7870
MSTRG.26,1835,3509,1825,6514,5946,3402,5130,2986,5064,7787,5505,7390,8215,8623,8939,7786
MSTRG.28,2604,4226,2706,4780,5294,4106,4618,4124,4400,4392,4706,4863,5001,5497,5166,4835
MSTRG.32,140,160,212,215,285,240,242,211,142,138,133,136,145,229,179,189
MSTRG.29,16,18,6,8,33,15,27,14,13,14,10,15,12,19,8,16
MSTRG.30,19,15,14,9,29,27,23,26,23,15,9,20,8,31,11,10
MSTRG.31,3086,4721,3405,3632,4314,4116,4416,4794,4169,3530,4141,4364,4104,4970,4451,4310
TOC.1T.00071,12,23,19,20,29,20,27,22,18,20,19,44,24,30,29,30
TOC.1T.00072,9,6,11,9,20,14,12,15,17,17,14,13,11,14,23,13
MSTRG.33,270,173,331,178,293,237,214,386,299,282,179,300,269,280,371,260
MSTRG.34,4364,6103,4213,5497,6757,5943,6650,6357,5327,4561,6370,5552,5294,6213,5193,5533
TOC.1T.00082,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
MSTRG.37,1274,1731,1518,2093,2324,2006,2259,2082,2071,2352,1894,2537,2278,2366,2619,2338
MSTRG.35,19476,31353,19031,55022,51928,29702,43390,28435,41782,57273,44299,65412,53730,61841,67426,62288
MSTRG.36,4388,4769,5573,3703,3961,6251,4293,7256,3746,3339,3203,3464,3244,3298,3212,2912
MSTRG.39,83,119,57,85,119,97,112,181,110,100,86,106,99,135,95,102
MSTRG.38,4532,5817,6060,7439,6531,5537,6325,6502,6282,8594,6234,8849,9532,8982,10948,9033
TOC.1T.00084,237,191,234,176,307,260,183,277,251,254,167,234,267,277,273,185
TOC.1T.00087,2,9,11,4,9,10,4,21,14,14,10,19,9,12,12,10
MSTRG.40,7324,10332,9514,11431,11400,10119,10912,11682,9559,11446,10334,12101,11738,13061,14174,12338
MSTRG.41,1148,1729,1633,1724,1852,1761,1829,1919,1784,1710,1784,1956,1788,2042,2001,1763
TOC.1T.00092,1,0,1,0,1,1,2,4,0,1,2,3,1,2,1,0
TOC.1T.00095,4,16,16,30,39,22,19,20,19,18,45,36,43,32,52,43
TOC.1T.00093,2,1,5,6,1,3,4,0,2,2,1,2,1,1,0,3
MSTRG.43,403,397,502,605,497,503,605,594,455,708,396,539,649,724,657,609
TOC.1T.00090,267,247,285,283,404,272,421,262,198,336,151,238,147,216,252,260
MSTRG.42,5271,7912,7081,11369,10654,7966,9739,8300,9436,11771,9869,12582,12894,13426,14031,12672
MSTRG.45,102,94,29,44,122,79,85,70,47,46,39,22,57,50,47,30
MSTRG.44,3503,4408,2178,4203,6610,5846,6358,6243,5466,3332,5549,3851,4332,5533,4492,4739
TOC.1T.00100,13,9,13,10,13,16,14,11,6,15,9,11,14,11,21,15
MSTRG.48,1570,2120,2064,3331,2643,2185,2490,2558,2536,3157,2485,3239,3237,3435,3616,3327
MSTRG.50,82,287,81,10224,2520,206,880,180,1598,76151,1398,29422,85899,62809,93244,58363
MSTRG.49,2295,3809,2495,4037,4897,3538,4199,3841,3925,3778,4146,4269,4348,5076,4687,4356
TOC.1T.00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.46,125,54,140,103,55,107,72,158,50,116,59,132,77,59,151,131
MSTRG.47,646,309,722,615,345,658,481,828,261,659,359,822,646,459,962,802
MSTRG.51,1749,1482,933,1970,1019,1823,1453,2215,887,769,722,826,694,625,580,704
MSTRG.52,243,424,869,59,311,148,499,162,28,56,24,19,107,32,120,52
MSTRG.53,187,312,251,543,725,386,565,310,496,568,607,643,569,732,797,693
MSTRG.54,329,433,265,646,859,463,627,361,612,730,726,851,816,744,1149,931
MSTRG.55,1256,2181,1359,2370,2434,1861,2235,1992,2432,2311,2400,2603,2760,3179,2955,2593
MSTRG.56,3156,4445,3187,6217,6145,4799,5240,4777,5495,6427,6237,6817,7049,7435,7381,7206
MSTRG.57,4109,5424,4539,6861,6615,5560,6658,5761,5175,6786,6500,7121,7617,7688,7957,7728
MSTRG.58,1328,2099,1582,2740,3318,2246,2687,2304,2227,2689,2338,2879,2975,3065,3121,2907
MSTRG.59,10657,15573,12366,20116,19168,15605,17410,17634,16967,19443,17583,21777,20299,23093,24213,20716
MSTRG.60,1451,1984,1716,1903,2007,1844,2203,2135,1821,1711,1699,1839,1791,1893,2032,1873
MSTRG.61,1873,2696,2004,3154,3483,2560,3052,2916,2883,3480,3385,3911,4038,3981,4171,4168
MSTRG.62,827,1250,887,1361,1512,1166,1249,1325,1176,1596,1477,1589,1718,1791,1756,1790
MSTRG.63,12375,16479,17467,25412,22180,17362,20791,19321,19123,23690,19989,25713,23501,27649,29342,23972
MSTRG.64,4772,8000,6529,6387,7076,7066,6835,7413,6448,7053,6915,8076,7385,8199,8356,7778
MSTRG.66,176,360,172,316,463,359,361,367,333,420,383,475,477,674,549,543
MSTRG.65,3284,5148,3436,6198,7316,5046,6437,5092,5789,6199,6318,7089,6812,8083,7303,7158
TOC.1T.00125,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MSTRG.67,3790,6235,4221,6473,7847,5944,6748,5529,6275,6274,7635,7428,7810,8285,7669,8124
MSTRG.68,1601,2449,2090,2384,2998,2335,2860,2562,2348,2528,2795,2784,2869,3010,2957,2943
MSTRG.69,1656,3010,1577,3225,4312,2765,3424,2773,3444,3529,4098,4063,4323,4622,4467,4609
MSTRG.70,158,277,161,357,444,273,426,289,390,361,460,375,395,442,441,446
MSTRG.71,2459,4319,2548,3755,5083,3783,3958,3774,4004,3662,4763,4376,4940,4996,4813,5367
