Sample_ID,Date of collection,Date of Eclosion,Date of Death,Life_span,Box,Sex,Phenotype,Juv_Right_Forewing_length,Juv_Right_Hindwing_length,Pro_Juv1,Pro_Juv2,Pro_Juv3,Weight_Adu,Pro_Adu1,Pro_Adu2,Pro_Adu3,Adult_Top or Left_Forewing_length,Adult_Right_Forewing_length,
P146_NW1,05-Apr,15-Apr,25-Jun,71,146,M,Lw,3.90,5.33,3.74,3.71,3.75,0.512,3.67,3.62,3.73,13.42,,"Pro Juv1,2,3 and Pro Adu 1,2,3 indicate pronotum length measured three times in last-instar juvenile and adult ecolsion (mm)"
P146_NW2,05-Apr,16-Apr,11-Jun,56,146,M,Lw,3.66,6.02,3.99,3.95,4.06,0.626,4.08,4.11,4.07,13.30,,Juv_Right_Forewing_length and Juv_Right_Hindwing_length: right forewing and hindwing length was measured in last-instar juvenile (mm)
P146_NW3,05-Apr,14-Apr,08-Aug,116,146,M,Lw,3.52,5.58,3.87,3.83,3.82,0.534,3.90,3.97,3.91,12.40,,"Adult_Top or Left_Forewing_length and Adult_Right_Forewing_length: Adult left- and right forewing length was measured for Sw individuals, but only the wing folded on the top was measured for Lw individuals."
P146_NW4,05-Apr,16-Apr,24-Jun,69,146,M,Lw,3.22,5.26,3.86,3.80,3.82,0.544,3.74,3.70,3.76,13.02,,Weight_Adu: Body mass was measured on the day of adult eclosion (g).
P146_NW_F1,05-Apr,10-Apr,03-Jul,84,146,F,Lw,3.59,5.64,3.57,3.53,3.59,0.422,3.71,3.83,3.78,11.87,,
P146_NW_F2,05-Apr,10-Apr,07-Jun,58,146,F,Lw,3.37,5.92,3.54,3.50,3.54,0.423,3.68,3.68,3.64,11.78,,
P146_NW_F3,05-Apr,15-Apr,10-Jul,86,146,F,Lw,3.21,5.94,3.58,3.54,3.57,0.488,3.83,3.86,3.80,12.61,,
P146_NW_F4,05-Apr,14-Apr,02-Jul,79,146,F,Lw,3.47,6.09,3.72,3.63,3.65,0.481,3.85,3.82,3.71,12.45,,
P149_SW1,05-Apr,15-Apr,20-Jul,96,149,M,Sw,2.07,4.46,3.67,3.73,3.64,0.521,3.72,3.74,3.75,9.08,9.18,
P149_SW2,05-Apr,16-Apr,03-Aug,109,149,M,Sw,2.67,4.34,3.41,3.43,3.44,0.491,3.67,3.58,3.60,9.50,9.55,
P149_SW3,05-Apr,15-Apr,29-Jul,105,149,M,Sw,2.54,4.48,3.74,3.65,3.70,0.520,3.82,3.73,3.74,9.75,9.67,
P149_SW4,05-Apr,15-Apr,01-Jul,77,149,M,Sw,2.27,4.30,3.67,3.62,3.60,0.513,3.77,3.79,3.77,9.48,9.15,
P149_SW5,05-Apr,15-Apr,28-Aug,135,149,M,Sw,2.41,4.25,3.65,3.76,3.66,0.444,3.64,3.65,3.64,8.44,8.82,
P149_SW6,05-Apr,13-Apr,31-Jul,109,149,M,Sw,2.60,4.55,3.70,3.76,3.74,0.521,3.76,3.83,3.84,,8.34,
P149_SW7,05-Apr,15-Apr,18-Jul,94,149,M,Sw,2.44,4.00,3.72,3.77,3.73,0.519,3.61,3.64,3.67,9.29,9.49,
P149_SW8,05-Apr,16-Apr,15-Aug,121,149,M,Sw,2.69,4.28,3.46,3.43,3.49,0.493,3.75,3.74,3.79,8.51,8.76,
P149_SW9,05-Apr,16-Apr,02-Aug,108,149,M,Sw,2.67,3.98,3.73,3.64,3.73,0.468,3.76,3.82,3.82,8.20,8.20,
P149_SW10,05-Apr,16-Apr,25-Jul,100,149,M,Sw,2.70,4.32,3.53,3.50,3.49,0.511,3.59,3.65,3.64,9.01,,
P149_SW11,05-Apr,17-Apr,24-Jun,68,149,M,Sw,2.51,4.64,3.69,3.68,3.74,0.529,3.97,3.87,3.99,9.55,9.43,
P149_SW12,05-Apr,17-Apr,15-Jul,89,149,M,Sw,2.29,4.41,3.42,3.51,3.45,0.446,3.62,3.60,3.67,8.64,8.58,
P149_SW13,05-Apr,16-Apr,29-Jul,104,149,M,Sw,2.35,4.73,3.65,3.60,3.69,0.571,3.84,3.79,3.83,9.07,8.88,
P149_NW_F1,05-Apr,14-Apr,04-Jun,51,149,F,Lw,3.32,5.81,3.37,3.39,3.35,0.484,3.67,3.57,3.64,12.45,,
P149_NW_F3,05-Apr,12-Apr,14-Jul,93,149,F,Lw,3.72,5.91,3.71,3.72,3.68,0.549,3.87,3.89,3.87,12.62,,
P149_NW_F4,05-Apr,14-Apr,19-Jul,96,149,F,Lw,3.27,5.84,3.73,3.73,3.70,0.520,3.80,3.81,3.84,11.84,,
P149_NW_F5,05-Apr,16-Apr,13-Jun,58,149,F,Lw,3.40,5.51,3.59,3.43,3.47,0.473,3.43,3.48,3.52,12.10,,
P149_NW_F6,05-Apr,13-Apr,03-Jul,81,149,F,Lw,3.65,5.96,3.76,3.76,3.78,0.515,3.89,3.91,3.87,11.61,,
P149_NW_F7,05-Apr,15-Apr,03-Jul,79,149,F,Lw,3.60,5.80,3.63,3.54,3.58,0.509,3.70,3.77,3.77,11.79,,
P149_NW_F8,05-Apr,14-Apr,03-Jul,80,149,F,Lw,3.53,5.92,3.84,3.70,3.78,0.610,3.73,3.72,3.82,12.00,,
P149_NW_F9,05-Apr,13-Apr,02-Jul,80,149,F,Lw,3.61,5.93,3.57,3.60,3.60,0.490,3.75,3.77,3.69,11.13,,
