Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P146_NW1,05-Apr,146,M,Lw,0.512,W0,0.549,0.054,40,0.009,,Weight: g
P146_NW3,05-Apr,146,M,Lw,0.534,W0,,,,,,"W0,2,4,6,8,10: Weeks post adult-eclosion"
P145_NW2,14-Apr,145,M,Lw,0.549,W0,,,,,,
P145_NW3,14-Apr,145,M,Lw,0.570,W0,,,,,,
P146_NW5,17-Apr,146,M,Lw,0.524,W0,,,,,,
P146_NW6,17-Apr,146,M,Lw,0.498,W0,,,,,,
P146_NW7,17-Apr,146,M,Lw,0.531,W0,,,,,,
P146_NW8,17-Apr,146,M,Lw,0.573,W0,,,,,,
P146_NW10,17-Apr,146,M,Lw,0.583,W0,,,,,,
P146_NW11,17-Apr,146,M,Lw,0.479,W0,,,,,,
P146_NW12,17-Apr,146,M,Lw,0.617,W0,,,,,,
P146_NW14,17-Apr,146,M,Lw,0.510,W0,,,,,,
P146_NW15,17-Apr,146,M,Lw,0.521,W0,,,,,,
P146_NW16,17-Apr,146,M,Lw,0.501,W0,,,,,,
P146_NW17,17-Apr,146,M,Lw,0.519,W0,,,,,,
P146_NW18,17-Apr,146,M,Lw,0.574,W0,,,,,,
P146_NW21,17-Apr,146,M,Lw,0.476,W0,,,,,,
P146_NW22,17-Apr,146,M,Lw,0.542,W0,,,,,,
P146_NW23,17-Apr,146,M,Lw,0.522,W0,,,,,,
P146_NW24,29-Apr,146,M,Lw,0.526,W0,,,,,,
P146_NW26,29-Apr,146,M,Lw,0.541,W0,,,,,,
P146_NW27,29-Apr,146,M,Lw,0.514,W0,,,,,,
P145_NW4,29-Apr,145,M,Lw,0.637,W0,,,,,,
P152_NW1,01-May,152,M,Lw,0.681,W0,,,,,,
P152_NW2,01-May,152,M,Lw,0.563,W0,,,,,,
P152_NW4,01-May,152,M,Lw,0.501,W0,,,,,,
P152_NW5,01-May,152,M,Lw,0.594,W0,,,,,,
P152_NW7,01-May,152,M,Lw,0.565,W0,,,,,,
