Time,Phenotype,Mean,Sd,Se,Weight_diff (g)
W0,Lw_F,0.489,0.051,0.008,
W2,Lw_F,0.632,0.064,0.010,
W4,Lw_F,0.722,0.077,0.012,
W6,Lw_F,0.762,0.098,0.015,
W8,Lw_F,0.779,0.126,0.019,
W10,Lw_F,0.808,0.144,0.022,
W0,Lw_M,0.549,0.054,0.009,
W2,Lw_M,0.590,0.054,0.009,
W4,Lw_M,0.582,0.049,0.008,
W6,Lw_M,0.568,0.052,0.008,
W8,Lw_M,0.562,0.051,0.008,
W10,Lw_M,0.549,0.070,0.011,
W0,Sw_F,0.499,0.051,0.009,
W2,Sw_F,0.709,0.064,0.011,0.077
W4,Sw_F,0.797,0.072,0.013,0.075
W6,Sw_F,0.846,0.087,0.016,0.084
W8,Sw_F,0.901,0.095,0.018,0.122
W10,Sw_F,0.945,0.118,0.021,0.137
W0,Sw_M,0.545,0.060,0.008,
W2,Sw_M,0.577,0.057,0.008,
W4,Sw_M,0.563,0.060,0.008,
W6,Sw_M,0.554,0.056,0.007,
W8,Sw_M,0.544,0.056,0.007,
W10,Sw_M,0.532,0.060,0.008,
