Box_ID,Sample_ID,Morph,Sex,Phenotype,Muscle_type,Weight(Day0;g),Weight(Day14;g),Pronotum(mm),Ave_Wing_length(mm),Left_wing(mm),Right_wing(mm),W_Gonads(g),Egg_number,W_DLM(g),W_DVM(g),Color_DLM,,Note
B2,B2_Lw_F1,Lw,F,Lw_F,Lw_F_White,0.388,0.468,3.4,12.24,12.23,12.24,0.0444,71,0.0011,0.0159,White,,All wing lengths were measured using calipers on slide-mounted samples.
B2,B2_Lw_F3,Lw,F,Lw_F,Lw_F_Pink or Red,0.45,0.492,3.56,12.64,12.72,12.55,0.1069,179,0.0114,0.0268,Pink or Red,,All gonads and flight muscles were placed on filter paper and weighed as: Wsubject = (W subject + filter paper) − W filter paper
B2,B2_Sw_M3,Sw,M,Sw_M,Sw_M_White,0.393,0.391,3.47,8.56,8.76,8.36,0.0248,,0.0024,0.0184,White,,The muscle type was classified based on the colour of DLM.
B2,B2_Sw_M5,Sw,M,Sw_M,Sw_M_White,0.37,0.471,3.54,9.52,9.53,9.5,0.0193,,0.0012,0.0125,White,,
B2,B2_Lw_M3,Lw,M,Lw_M,Lw_M_White,0.435,0.418,3.4,12.47,12.43,12.5,0.0244,,0.002,0.0188,White,,
B3,B3A_Lw_FX2,Lw,F,Lw_F,Lw_F_White,0.233,0.352,2.93,10.42,10.34,10.5,0.1056,165,0.0008,0.0112,White,,
B3,B3A_Sw_F2,Sw,F,Sw_F,Sw_F_White,0.393,0.567,3.41,8.17,8.36,7.98,0.1723,324,0.0028,0.0158,White,,
B3,B3A_Lw_FX1,Lw,F,Lw_F,Lw_F_Pink or Red,0.343,0.39,3.38,11.81,11.8,11.81,0.1009,164,0.0081,0.0227,Pink or Red,,
B3,B3A_Lw_F1,Lw,F,Lw_F,Lw_F_Pink or Red,0.327,0.383,3.13,11.88,11.95,11.81,0.0612,107,0.0068,0.0183,Pink or Red,,
B3,B3A_Lw_F2,Lw,F,Lw_F,Lw_F_White,0.39,0.572,3.57,12.98,13.06,12.89,0.2448,424,0.0013,0.0194,White,,
B3,B3A_Lw_M_X1,Lw,M,Lw_M,Lw_M_White,0.43,0.441,3.6,12.83,12.98,12.67,0.0255,,0.0025,0.023,White,,
B3,B3A_Lw_F4,Lw,F,Lw_F,Lw_F_Pink or Red,0.366,0.449,3.45,12.36,12.37,12.35,0.0937,176,0.009,0.0243,Pink or Red,,
B3,B3A_Lw_MX2,Lw,M,Lw_M,Lw_M_White,0.338,0.368,3.23,11.9,11.95,11.84,0.0214,,0.0023,0.0145,White,,
B3,B3A_Sw_M2,Sw,M,Sw_M,Sw_M_White,0.38,0.412,3.51,8.74,8.47,9,0.025,,0.0032,0.0224,White,,
B3,B3A_Lw_M1,Lw,M,Lw_M,Lw_M_White,0.35,0.371,3.29,12.06,12.06,,0.0229,,0.0026,0.0202,White,,
B3,B3A_Lw_M3,Lw,M,Lw_M,Lw_M_White,0.436,0.471,3.57,12.76,12.66,12.85,0.0245,,0.002,0.0185,White,,
B3,B3A_Lw_M4,Lw,M,Lw_M,Lw_M_White,0.349,0.41,3.41,13.03,13.22,12.83,0.0234,,0.0034,0.0167,White,,
B3,B3B_Sw_F1,Sw,F,Sw_F,Sw_F_White,0.346,0.502,3.39,7.56,7.22,7.89,0.196,333,0.0017,0.014,White,,
B3,B3B_Sw_F2,Sw,F,Sw_F,Sw_F_White,0.361,0.521,3.45,,,,0.18,321,0.0008,0.0142,White,,
B3,B3B_Sw_M_X1,Sw,M,Sw_M,Sw_M_White,0.427,0.446,3.61,9.67,9.1,10.24,0.0251,,0.0024,0.0187,White,,
B3,B3B_Lw_F1,Lw,F,Lw_F,Lw_F_White,0.378,0.535,3.37,12.18,12.19,12.17,0.2103,371,0.001,0.0167,White,,
B3,B3B_Lw_F2,Lw,F,Lw_F,Lw_F_Pink or Red,0.321,0.405,3.22,11.31,11.29,11.33,0.1045,174,0.0082,0.0203,Pink or Red,,
B3,B3B_Lw_F9,Lw,F,Lw_F,Lw_F_Pink or Red,0.394,0.442,3.45,12.3,12.35,12.24,0.0825,151,0.0068,0.024,Pink or Red,,
B3,B3B_Sw_M1,Sw,M,Sw_M,Sw_M_White,0.411,0.421,3.47,9.4,9.36,9.44,0.0247,,0.0029,0.0178,White,,
B3,B3B_Sw_M2,Sw,M,Sw_M,Sw_M_White,0.367,0.361,3.16,7.95,7.98,7.91,0.0237,,0.0028,0.0164,White,,
B3,B3B_Lw_M1,Lw,M,Lw_M,Lw_M_White,0.373,0.416,3.35,12.5,12.68,12.32,0.0273,,0.0021,0.0155,White,,
B3,B3B_Lw_M2,Lw,M,Lw_M,Lw_M_White,0.326,0.355,3.3,12.09,12.07,12.11,0.0211,,0.0014,0.0166,White,,
B3,B3B_Lw_M3,Lw,M,Lw_M,Lw_M_White,0.305,0.334,3.24,12.28,12.18,12.37,0.0179,,0.0019,0.0124,White,,
B3,B3B_Lw_M4,Lw,M,Lw_M,Lw_M_White,0.327,0.353,3.24,12.07,11.95,12.18,0.0214,,0.002,0.0155,White,,
B4,B4A_Lw_M2,Lw,M,Lw_M,Lw_M_White,0.396,0.431,3.44,12.98,13.16,12.8,0.0204,,0.0024,0.0196,White,,
B4,B4A_Lw_M3,Lw,M,Lw_M,Lw_M_White,0.403,0.431,3.45,12.89,12.9,12.87,0.0276,,0.0025,0.0182,White,,
B4,B4A_Lw_M4,Lw,M,Lw_M,Lw_M_White,0.441,0.454,3.56,12.57,12.48,12.65,0.0299,,0.0023,0.0199,White,,
B4,B4B_Sw_M1,Sw,M,Sw_M,Sw_M_White,0.418,0.452,3.61,8.96,8.76,9.16,0.0265,,0.0014,0.0194,White,,
B4,B4B_Sw_M2,Sw,M,Sw_M,Sw_M_White,0.511,0.546,3.85,9.54,10.85,8.23,0.0292,,0.0027,0.0274,White,,
B4,B4B_Lw_M1,Lw,M,Lw_M,Lw_M_White,0.402,0.423,3.41,12.69,12.7,12.68,0.0237,,0.0027,0.0185,White,,
B4,B4B_Lw_M2,Lw,M,Lw_M,Lw_M_White,0.434,0.471,3.54,12.83,12.87,12.79,0.0261,,0.0025,0.0232,White,,
B4,B4B_Lw_M3,Lw,M,Lw_M,Lw_M_Pink or Red,0.497,0.501,3.81,13.81,13.91,13.7,0.0264,,0.0079,0.0262,Pink or Red,,
B4,B4B_Lw_M4,Lw,M,Lw_M,Lw_M_White,0.521,0.548,3.83,13.37,,13.37,0.0307,,0.0059,0.0274,White,,
B5,B5A_Sw_F1,Sw,F,Sw_F,Sw_F_White,0.354,0.46,3.45,8.55,8.68,8.41,0.1372,237,0.0016,0.0177,White,,
B5,B5A_Sw_F2,Sw,F,Sw_F,Sw_F_White,0.37,0.526,3.42,8.87,9.05,8.68,0.1621,331,0.0023,0.0187,White,,
B5,B5A_Sw_F3,Sw,F,Sw_F,Sw_F_White,0.346,0.473,3.43,8.01,8.04,7.97,0.1679,315,0.0012,0.0172,White,,
