Not_Use,Generation,Order_by_Cross_Type,Off_Sex,Prop,Pair_ID,Female,Male,Mother,Father,Parental_genotype,Parental_phenotype,Mother_genotype,Cross_Type,Off_M,Off_Lw_M,Off_Sw_M,Off_F,Off_Lw_F,Off_Sw_F,Prop.Sw.M,Prop.Sw.F,Note
N,F4-F5,1,M,0,3,A1_F2,X_NW3,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),5,5,0,4,4,0,0,0,
N,F4-F5,1,M,0,5,B_F8,A_NW1,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),8,8,0,4,4,0,0,0,
N,F4-F5,1,M,0,39,A4_F1,B2_NW3,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),3,3,0,7,7,0,0,0,
N,F4-F5,1,M,0,8(2),X_F1,B_NW1,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),7,7,0,5,5,0,0,0,
N,F4-F5,1,M,0,80,A3_F1,A4_NW1,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),10,10,0,4,4,0,0,0,
N,F4-F5,1,M,0,139,A2_F19,A2_NW7,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),7,7,0,8,8,0,0,0,
N,F4-F5,1,M,0,111,A3_F4,A1_NW6,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),7,7,0,7,7,0,0,0,
N,F4-F5,1,M,0,53(2),A1_F7,A3_NW1,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),8,8,0,11,11,0,0,0,
N,F4-F5,1,M,0,57,B_F12,X_NW7,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),9,9,0,11,11,0,0,0,
N,F4-F5,1,M,0,59,A2_F3,B_NW9,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),11,11,0,11,11,0,0,0,
